#trunk_id (position.x, position.y, position.z) (direction.x, direction.y, direction.z) radius height
#trunk_id (position.x, position.y, position.z) (direction.x, direction.y, direction.z) radius height
#trunk_id (position.x, position.y, position.z) (direction.x, direction.y, direction.z) radius height
1 (-0.513563, 4.9169, 2.40745)  (0.0690451, -0.0772562, 0.994618) 0.0685262 5.10439
2 (-3.11734, 4.48965, 2.53947)  (0.0762026, -0.0599039, 0.995291) 0.062179 5.45331
3 (4.00301, -0.0589392, 2.53863)  (0.0325293, -0.0673884, 0.997196) 0.064599 5.78562
4 (2.85904, 2.38473, 2.04394)  (-0.0337449, -0.0820388, 0.996058) 0.12053 4.4509
5 (6.86916, 4.77141, 2.98701)  (0.0638482, -0.0786005, 0.99486) 0.0690913 6.23297
6 (-2.22751, -1.59036, 1.71715)  (0.0685981, -0.105059, 0.992097) 0.0458425 3.76203
7 (-6.36406, -6.47047, 1.31606)  (0.0623636, -0.0860164, 0.99434) 0.123146 4.00859
8 (-6.94616, 0.698699, 7.58752)  (-8.94303e-05, -0.060936, 0.998142) 0.0701182 3.16831
#trunk_id (position.x, position.y, position.z) (direction.x, direction.y, direction.z) radius height
1 (-0.481136, 4.88673, 2.81037)  (0.071098, -0.0747113, 0.994667) 0.0666485 6.08813
2 (-3.09141, 4.46755, 3.34798)  (0.0804389, -0.089255, 0.992755) 0.0673631 7.22308
3 (4.00301, -0.0589392, 2.53863)  (0.0325293, -0.0673884, 0.997196) 0.064599 5.78562
4 (2.79997, 2.34113, 2.03093)  (-0.0600629, -0.0537699, 0.996745) 0.057267 4.47123
5 (6.94901, 4.7113, 3.94014)  (0.0484501, -0.0829078, 0.995379) 0.068717 8.14607
6 (-2.2588, -1.63377, 1.93665)  (0.0810561, -0.0846722, 0.993106) 0.0796134 4.20004
7 (-6.35801, -6.46791, 1.34315)  (0.0589995, -0.0837968, 0.994735) 0.116021 4.20857
8 (-6.98506, 0.703251, 7.64407)  (0.0392537, -0.0568246, 0.997612) 0.0808806 3.27844
9 (3.54322, 5.86705, 3.96815)  (0.0517669, -0.0651993, 0.996529) 0.0940243 7.76144
10 (-4.73855, -0.778244, 3.38582)  (0.0580623, -0.0724407, 0.995681) 0.0629985 7.29974
11 (0.453263, -2.97794, 1.30457)  (0.12704, 0.03573, 0.991254) 0.341777 3.1988
12 (-2.62586, 0.8404, 2.12499)  (-0.126087, -0.126719, 0.983892) 0.242019 4.66691
13 (7.03748, 0.689443, 2.1515)  (0.0737647, -0.0744639, 0.994492) 0.0811359 4.35137
14 (-6.17197, 4.45053, 2.28193)  (0.0551723, -0.162611, 0.985146) 0.246258 4.56073
15 (1.11068, 7.02555, 6.68045)  (0.116577, -0.0602391, 0.991353) 0.128926 3.73824
#trunk_id (position.x, position.y, position.z) (direction.x, direction.y, direction.z) radius height
1 (-0.439598, 4.84375, 3.30053)  (0.0830951, -0.0639886, 0.994485) 0.0564771 7.07433
2 (-3.14815, 4.48757, 3.83761)  (0.0743467, -0.0937569, 0.992815) 0.166659 8.18369
3 (3.89333, -0.0420037, 2.48025)  (0.0121663, -0.0405177, 0.999105) 0.0876699 5.7677
4 (2.77594, 2.33397, 2.24996)  (-0.0665378, -0.0557547, 0.996225) 0.0574773 4.91204
5 (6.94901, 4.7113, 3.94014)  (0.0484501, -0.0829078, 0.995379) 0.068717 8.14607
6 (-2.2588, -1.63377, 1.93665)  (0.0810561, -0.0846722, 0.993106) 0.0796134 4.20004
7 (-6.19909, -6.63963, 3.821)  (0.0600147, -0.0692844, 0.99579) 0.114883 9.18624
8 (-6.98506, 0.703251, 7.64407)  (0.0392537, -0.0568246, 0.997612) 0.0808806 3.27844
9 (3.56296, 5.84201, 4.45847)  (0.0503812, -0.0639245, 0.996682) 0.0935806 8.7439
10 (-4.73043, -0.822146, 3.96852)  (0.0607057, -0.0711721, 0.995615) 0.0789857 8.46674
11 (0.309118, -3.05981, 2.07233)  (-0.148613, 0.0172387, 0.988745) 0.328407 4.68786
12 (-2.62586, 0.8404, 2.12499)  (-0.126087, -0.126719, 0.983892) 0.242019 4.66691
13 (7.03132, 0.703704, 1.98266)  (0.0759577, -0.0730878, 0.994429) 0.0867299 4.68958
