#trunk_id (position.x, position.y, position.z) (direction.x, direction.y, direction.z) radius height
1 (3.57567, 5.7933, 4.87203)  (0.0503631, -0.0642261, 0.996664) 0.0813926 9.57173
2 (-0.374605, 4.79612, 4.07747)  (0.0804158, -0.0696017, 0.994328) 0.067819 8.45076
3 (-2.94971, 4.20005, 5.6697)  (0.0646609, -0.106428, 0.992216) 0.0770459 11.9031
4 (4.03117, -0.146683, 4.08782)  (0.0219257, -0.0620947, 0.997829) 0.0669275 9.0029
5 (2.77887, 2.22933, 4.2091)  (-0.0191939, -0.0689654, 0.997434) 0.100593 8.82001
6 (7.06849, 4.61722, 5.26406)  (0.0608838, -0.0758198, 0.995261) 0.0804371 10.7084
7 (-2.04906, -2.20933, 6.30457)  (0.0894975, -0.139593, 0.986156) 0.256288 13.0054
8 (-6.21846, -6.6476, 3.8178)  (0.0564833, -0.0660029, 0.996219) 0.124354 9.18363
9 (-6.9387, 0.699697, 7.60464)  (0.0169115, -0.0393847, 0.999081) 0.0635829 3.35926
10 (0.537967, -2.37404, 3.55653)  (0.124076, -0.0147705, 0.992163) 0.418523 6.64908
11 (-2.81406, 0.550619, 4.34179)  (0.0171561, 0.0333887, 0.999295) 0.199353 8.18011
12 (7.1467, 0.602657, 3.44662)  (0.0726841, -0.0677911, 0.995048) 0.0947887 7.77366
13 (0.954495, 7.1486, 5.37897)  (0.0958865, -0.0612285, 0.993507) 0.169711 8.75407
14 (-6.58621, -3.01931, 4.63512)  (0.0678119, -0.040897, 0.99686) 0.110779 9.03443
15 (-0.810597, -5.70209, 4.6182)  (0.0316984, -0.058193, 0.997802) 0.329988 10.1803
16 (-1.70344, 6.44092, 7.82846)  (0.0593853, -0.0780978, 0.995175) 0.486759 4.84652
17 (0.482906, -7.03739, 5.38518)  (0.0539938, -0.106673, 0.992827) 0.109956 10.1571
18 (-4.6756, -0.954205, 5.52968)  (0.0585978, -0.0846218, 0.994689) 0.109089 10.4217
19 (-5.32755, 3.34361, 9.02613)  (0.11782, -0.142735, 0.982723) 0.213669 3.0212
20 (0.727343, 1.77273, 4.11937)  (0.0567928, -0.0624306, 0.996432) 0.0879788 7.5792
21 (6.34122, -5.27831, 5.24306)  (0.0460879, -0.0329968, 0.998392) 0.155884 10.4218
22 (8.33936, -3.88341, 4.44988)  (0.0503513, -0.0186173, 0.998558) 0.0733121 8.44825
23 (-0.488417, -0.962627, 6.93684)  (0.0703122, -0.0871637, 0.99371) 0.264739 10.0963
24 (10.4972, 5.54092, 6.03068)  (0.0222765, -0.0932229, 0.995396) 0.0905085 10.82
25 (11.0046, -2.57524, 4.84747)  (0.0481292, -0.0365809, 0.998171) 0.204857 9.05141
26 (12.681, 2.09555, 4.97585)  (0.0141511, -0.071689, 0.997327) 0.0969993 9.23922
27 (11.8093, -5.60722, 4.99934)  (0.000557582, 0.015653, 0.999877) 0.0879339 9.71817
28 (11.1036, 4.57151, 5.82499)  (0.0677313, -0.0569079, 0.996079) 0.0938561 10.047
29 (14.9662, 3.78844, 4.87522)  (0.0588994, -0.047043, 0.997155) 0.0722061 8.18577
30 (17.3004, -0.395533, 4.41459)  (0.0557201, -0.0646472, 0.996351) 0.181078 8.33541
31 (15.7276, -6.92864, 2.27771)  (0.059756, -0.0509451, 0.996912) 0.064946 4.69299
